service_type,service_subtype,district,month,source_system,sla_hours,out_of_hours,accessibility_need,duplicate_signal,days_open,previous_contacts,vulnerability_flag,deprivation_band,channel,urgency_text,priority
housing,neighbourhood_nuisance,Braintree,10,web_form,240,False,False,False,8,1,False,medium,web,resident in Braintree reports general housing enquiry,low
council_tax,recovery_or_summons,Castle Point,11,web_form,168,False,False,False,9,0,False,low,web,resident in Castle Point reports moving home notification,low
children_services,early_help,Chelmsford,12,contact_centre,120,False,False,False,3,0,False,high,phone,resident in Chelmsford reports school admission query; resident asks for reasonable adjustment,low
adult_social_care,care_package_breakdown,Basildon,1,shared_mailbox,24,False,False,False,12,0,True,high,email,safeguarding concern; officer should check supporting evidence,high
council_tax,single_person_discount,Epping Forest,12,contact_centre,4,True,False,False,5,5,False,high,phone,bailiff letter received; previous contact history needs review,high
benefits,housing_benefit_query,Basildon,3,shared_mailbox,240,False,False,False,5,0,False,medium,email,benefit calculation query; previous contact history needs review; linked case may exist,low
children_services,safeguarding_child,Epping Forest,7,web_form,8,False,False,False,3,1,True,medium,web,resident in Epping Forest reports school admission query,high
highways,pothole_or_carriageway,Epping Forest,10,shared_mailbox,4,False,False,False,5,3,False,medium,email,blocked emergency access; previous contact history needs review; resident asks for reasonable adjustment,medium
children_services,school_transport,Chelmsford,11,case_portal,24,False,True,False,1,3,True,low,in_person,family crisis today; previous contact history needs review; linked case may exist,high
waste,clinical_or_special_waste,Colchester,2,shared_mailbox,8,False,False,False,7,2,False,medium,email,recycling centre opening times; previous contact history needs review,medium
children_services,family_support,Harlow,8,case_portal,8,False,False,True,4,5,True,high,in_person,child missing education; officer should check supporting evidence,high
adult_social_care,equipment_or_adaptation,Colchester,11,contact_centre,4,False,False,True,6,8,False,medium,phone,care package failing; previous contact history needs review,high
waste,missed_collection,Rochford,6,web_form,48,False,False,False,2,2,False,low,web,bin collection dispute; previous contact history needs review,low
council_tax,payment_plan,Epping Forest,3,shared_mailbox,24,False,False,False,4,2,False,medium,email,vulnerable household debt; officer should check supporting evidence,low
children_services,send_support,Epping Forest,11,web_form,48,False,False,False,9,2,True,medium,web,resident in Epping Forest reports safeguarding concern for child,high
children_services,safeguarding_child,Chelmsford,1,contact_centre,4,False,False,False,2,1,False,medium,phone,fostering information request; officer should check supporting evidence,medium
waste,fly_tipping,Epping Forest,2,shared_mailbox,120,False,False,False,2,0,False,medium,email,resident in Epping Forest reports garden waste subscription question,low
children_services,early_help,Rochford,3,case_portal,336,False,False,False,0,1,False,medium,in_person,resident in Rochford reports school admission query; resident asks for reasonable adjustment,low
adult_social_care,blue_badge_or_mobility,Epping Forest,7,contact_centre,168,False,False,False,11,1,True,medium,phone,blue badge update; officer should check supporting evidence,high
waste,container_request,Basildon,2,contact_centre,120,False,False,False,10,0,False,high,phone,recycling centre opening times; previous contact history needs review,low
adult_social_care,blue_badge_or_mobility,Brentwood,11,case_portal,240,False,False,False,1,0,True,low,in_person,care charge question; officer should check supporting evidence; linked case may exist,medium
adult_social_care,financial_assessment,Braintree,5,shared_mailbox,8,False,True,False,6,2,True,medium,email,care package failing; officer should check supporting evidence,high
waste,fly_tipping,Basildon,3,case_portal,120,False,False,False,3,0,False,high,in_person,garden waste subscription question; previous contact history needs review,low
council_tax,single_person_discount,Colchester,12,web_form,48,False,False,False,8,0,False,medium,web,cannot afford payment; previous contact history needs review; linked case may exist,low
highways,flooding_or_drainage,Braintree,3,contact_centre,8,True,False,False,17,2,True,medium,phone,traffic lights failed; previous contact history needs review,high
children_services,adoption_or_fostering,Brentwood,10,web_form,24,False,False,False,0,3,False,low,web,adoption or fostering case from web form,medium
waste,fly_tipping,Basildon,4,contact_centre,168,False,False,False,3,4,False,high,phone,recycling centre opening times; officer should check supporting evidence,low
highways,footway_defect,Tendring,11,shared_mailbox,24,True,True,False,6,7,True,medium,email,footway defect case from shared mailbox; linked case may exist,high
children_services,send_support,Uttlesford,9,web_form,8,False,False,False,11,1,False,low,web,resident in Uttlesford reports safeguarding concern for child,high
children_services,early_help,Colchester,5,contact_centre,120,False,False,False,0,0,True,medium,phone,early help case from contact centre,medium
children_services,send_support,Harlow,8,shared_mailbox,168,False,False,False,14,2,True,high,email,school transport issue; officer should check supporting evidence,high
highways,street_lighting,Basildon,6,case_portal,168,False,False,False,1,1,False,high,web,request for inspection update; previous contact history needs review,low
children_services,send_support,Harlow,12,case_portal,120,False,False,False,4,4,False,high,in_person,resident in Harlow reports SEND support delayed; linked case may exist,medium
council_tax,payment_plan,Harlow,8,shared_mailbox,336,False,False,False,7,0,True,high,email,payment plan case from shared mailbox,medium
children_services,safeguarding_child,Colchester,4,contact_centre,4,False,True,False,6,1,True,medium,phone,SEND support delayed; previous contact history needs review,high
highways,street_lighting,Tendring,10,case_portal,240,False,False,False,4,0,True,high,web,resident in Tendring reports roadworks update,low
council_tax,bill_query,Tendring,7,web_form,72,False,False,False,7,2,False,high,web,discount evidence supplied; previous contact history needs review,low
children_services,school_admission,Harlow,2,contact_centre,48,False,False,True,5,2,False,medium,phone,school admission case from contact centre,medium
adult_social_care,assessment_waiting_list,Chelmsford,7,contact_centre,168,False,False,False,6,3,True,medium,phone,mobility worsening; previous contact history needs review,high
children_services,send_support,Maldon,11,contact_centre,48,False,False,False,2,2,False,medium,phone,school transport issue; officer should check supporting evidence,medium
benefits,discretionary_payment,Chelmsford,8,contact_centre,120,False,False,False,3,1,False,medium,phone,payment delayed; officer should check supporting evidence,low
children_services,early_help,Harlow,9,case_portal,168,False,False,False,11,1,False,high,web,fostering information request; officer should check supporting evidence; resident asks for reasonable adjustment,medium
children_services,safeguarding_child,Basildon,2,shared_mailbox,4,False,False,False,4,0,False,high,email,fostering information request; officer should check supporting evidence; resident asks for reasonable adjustment; linked case may exist,medium
children_services,safeguarding_child,Tendring,4,web_form,4,False,False,False,3,3,True,high,web,safeguarding child case from web form; resident asks for reasonable adjustment,high
council_tax,single_person_discount,Maldon,5,contact_centre,168,False,False,False,0,0,False,medium,phone,direct debit question; officer should check supporting evidence,low
adult_social_care,care_package_breakdown,Maldon,4,contact_centre,4,False,False,False,4,2,True,medium,phone,safeguarding concern; officer should check supporting evidence,high
council_tax,bill_query,Braintree,6,contact_centre,336,False,False,False,7,4,True,medium,phone,moving home notification; previous contact history needs review,medium
children_services,send_support,Rochford,5,contact_centre,240,False,False,False,5,0,False,low,phone,resident in Rochford reports general family support question,medium
adult_social_care,safeguarding_adult,Chelmsford,5,contact_centre,4,False,False,False,4,1,False,medium,phone,information about support options; officer should check supporting evidence,medium
benefits,evidence_request,Chelmsford,8,web_form,168,False,False,False,5,0,False,medium,web,resident in Chelmsford reports request for update,low
highways,pothole_or_carriageway,Tendring,2,web_form,120,False,False,False,10,0,False,high,web,large pothole reported twice; officer should check supporting evidence; resident asks for reasonable adjustment,low
adult_social_care,blue_badge_or_mobility,Tendring,11,shared_mailbox,48,False,False,False,5,8,False,medium,email,resident in Tendring reports safeguarding concern,high
council_tax,discount_or_exemption,Braintree,10,contact_centre,168,False,False,False,4,2,False,low,phone,moving home notification; previous contact history needs review,low
highways,footway_defect,Tendring,8,web_form,168,False,False,False,12,3,False,high,web,street light out on footpath; officer should check supporting evidence,medium
highways,pothole_or_carriageway,Epping Forest,5,web_form,24,False,False,False,12,1,True,medium,web,carriageway flooding; previous contact history needs review; resident asks for reasonable adjustment,medium
highways,street_lighting,Tendring,6,web_form,504,False,False,False,7,0,False,high,web,street lighting case from web form; linked case may exist,low
benefits,housing_benefit_query,Colchester,8,web_form,120,False,False,False,3,0,False,medium,web,appeal deadline approaching; officer should check supporting evidence,low
housing,damp_mould_or_disrepair,Rochford,2,contact_centre,168,False,False,False,6,1,False,low,phone,repeat repair; officer should check supporting evidence,low
council_tax,discount_or_exemption,Chelmsford,7,contact_centre,240,False,False,False,7,0,False,medium,phone,discount or exemption case from contact centre,low
highways,permit_or_roadworks,Basildon,1,case_portal,8,False,False,False,13,1,True,high,web,resident in Basildon reports carriageway flooding,high
highways,footway_defect,Chelmsford,4,contact_centre,240,False,False,False,4,0,False,medium,phone,roadworks update; previous contact history needs review,low
adult_social_care,care_package_breakdown,Tendring,8,contact_centre,120,False,False,False,4,0,False,high,phone,blue badge update; previous contact history needs review,medium
children_services,send_support,Chelmsford,7,contact_centre,24,False,False,False,7,2,False,medium,phone,resident in Chelmsford reports safeguarding concern for child,high
adult_social_care,safeguarding_adult,Colchester,12,case_portal,24,False,False,False,6,0,False,medium,web,safeguarding adult case from case portal,high
children_services,family_support,Chelmsford,11,contact_centre,168,False,False,False,1,1,True,medium,phone,family support case from contact centre,medium
children_services,school_transport,Harlow,5,contact_centre,120,False,False,False,4,1,False,high,phone,SEND support delayed; officer should check supporting evidence,medium
council_tax,bill_query,Colchester,4,web_form,240,False,False,False,5,1,True,medium,web,direct debit question; officer should check supporting evidence; linked case may exist,medium
housing,routine_repair_update,Castle Point,1,contact_centre,168,False,False,True,13,5,False,medium,phone,resident in Castle Point reports mould recurring,medium
adult_social_care,carer_support,Epping Forest,3,contact_centre,120,False,False,False,11,1,False,low,phone,carer support case from contact centre,medium
council_tax,single_person_discount,Chelmsford,9,contact_centre,336,False,False,False,9,3,False,high,phone,single person discount case from contact centre,medium
benefits,evidence_request,Castle Point,3,contact_centre,240,False,False,False,8,0,False,medium,phone,evidence request case from contact centre; linked case may exist,low
highways,street_lighting,Chelmsford,7,contact_centre,336,False,False,False,10,2,False,high,phone,resident in Chelmsford reports request for inspection update,medium
waste,recycling_centre_query,Tendring,8,case_portal,72,False,False,False,5,0,False,high,web,recycling centre query case from case portal,low
adult_social_care,carer_support,Castle Point,2,shared_mailbox,240,False,False,False,14,1,True,medium,email,care charge question; officer should check supporting evidence; resident asks for reasonable adjustment,medium
highways,street_lighting,Uttlesford,7,case_portal,24,False,False,False,5,4,False,low,web,resident in Uttlesford reports blocked emergency access; linked case may exist,medium
children_services,family_support,Uttlesford,2,contact_centre,8,False,False,False,3,1,True,medium,phone,resident in Uttlesford reports safeguarding concern for child; resident asks for reasonable adjustment,high
children_services,family_support,Castle Point,1,contact_centre,168,False,False,False,4,0,False,medium,phone,general family support question; officer should check supporting evidence,low
children_services,family_support,Braintree,11,contact_centre,240,False,True,False,2,1,True,medium,phone,family support case from contact centre,medium
waste,garden_waste,Braintree,2,shared_mailbox,4,True,False,False,9,2,False,medium,email,assisted collection missed repeatedly; officer should check supporting evidence,medium
highways,pothole_or_carriageway,Basildon,5,contact_centre,168,False,False,False,7,1,False,high,phone,large pothole reported twice; previous contact history needs review,low
housing,temporary_accommodation,Uttlesford,8,contact_centre,8,True,False,False,12,2,True,low,phone,resident in Uttlesford reports homelessness,high
council_tax,recovery_or_summons,Harlow,11,web_form,336,False,False,False,3,2,False,high,web,single person discount update; previous contact history needs review; resident asks for reasonable adjustment,low
housing,routine_repair_update,Epping Forest,1,shared_mailbox,8,False,False,True,6,8,False,medium,email,routine repair update case from shared mailbox,medium
benefits,evidence_request,Rochford,11,web_form,120,False,False,True,10,2,False,low,web,payment delayed; previous contact history needs review,low
highways,winter_or_obstruction,Braintree,7,contact_centre,336,False,False,False,11,1,True,medium,phone,request for inspection update; officer should check supporting evidence; linked case may exist,medium
adult_social_care,carer_support,Rochford,5,contact_centre,48,False,False,False,3,2,True,low,phone,carer support case from contact centre,medium
benefits,evidence_request,Brentwood,10,web_form,240,False,False,True,8,2,False,low,web,request for update; officer should check supporting evidence,low
housing,no_heating_or_hot_water,Basildon,12,shared_mailbox,240,False,False,False,10,4,False,high,email,resident in Basildon reports general housing enquiry,medium
benefits,housing_benefit_query,Basildon,8,shared_mailbox,8,True,False,False,0,0,False,high,email,no money for food; previous contact history needs review; resident asks for reasonable adjustment,medium
waste,missed_collection,Epping Forest,8,shared_mailbox,4,False,False,False,8,3,False,medium,email,hazardous fly tipping; officer should check supporting evidence; linked case may exist,medium
children_services,safeguarding_child,Castle Point,1,web_form,8,False,False,False,9,1,False,medium,web,school transport issue; previous contact history needs review,medium
children_services,safeguarding_child,Basildon,12,case_portal,4,False,False,False,15,7,False,high,web,SEND support delayed; officer should check supporting evidence,high
highways,permit_or_roadworks,Braintree,2,web_form,120,False,False,False,8,4,True,medium,web,drain blocked after rain; officer should check supporting evidence,medium
council_tax,payment_plan,Colchester,8,shared_mailbox,4,False,False,False,8,1,False,medium,email,resident in Colchester reports vulnerable household debt; linked case may exist,low
housing,no_heating_or_hot_water,Chelmsford,4,shared_mailbox,4,False,False,False,6,1,True,medium,email,no heating; officer should check supporting evidence; linked case may exist,high
adult_social_care,care_package_breakdown,Maldon,1,web_form,336,False,False,False,4,0,False,medium,web,care package breakdown case from web form,medium
council_tax,discount_or_exemption,Maldon,4,web_form,48,False,False,True,9,3,False,medium,web,resident in Maldon reports bill dispute repeated; resident asks for reasonable adjustment,medium
waste,recycling_centre_query,Chelmsford,7,teams_referral,336,False,False,False,9,2,True,medium,in_person,resident in Chelmsford reports container request,medium
highways,street_lighting,Braintree,7,web_form,168,False,False,False,9,4,True,medium,web,large pothole reported twice; officer should check supporting evidence; linked case may exist,medium
council_tax,direct_debit,Brentwood,10,web_form,8,False,False,False,2,5,False,low,web,resident in Brentwood reports bailiff letter received; linked case may exist,medium
adult_social_care,blue_badge_or_mobility,Rochford,12,contact_centre,48,False,False,False,12,0,True,low,phone,care package failing; officer should check supporting evidence,high
housing,temporary_accommodation,Chelmsford,10,contact_centre,168,False,False,False,5,3,False,high,phone,temporary accommodation case from contact centre,medium
highways,footway_defect,Tendring,5,shared_mailbox,336,False,False,False,3,2,False,high,email,roadworks update; previous contact history needs review,low
adult_social_care,blue_badge_or_mobility,Epping Forest,5,contact_centre,4,False,False,False,7,4,True,medium,phone,resident in Epping Forest reports safeguarding concern,high
waste,missed_collection,Uttlesford,7,shared_mailbox,240,False,False,False,0,1,False,low,email,container request; previous contact history needs review,low
benefits,housing_benefit_query,Epping Forest,6,contact_centre,240,False,False,False,10,1,False,medium,phone,resident in Epping Forest reports request for update; resident asks for reasonable adjustment,low
benefits,housing_benefit_query,Chelmsford,5,web_form,120,False,False,False,7,3,True,medium,web,appeal deadline approaching; previous contact history needs review,medium
council_tax,move_in_or_move_out,Tendring,4,web_form,120,False,False,True,3,2,False,high,web,moving home notification; previous contact history needs review,low
benefits,evidence_request,Rochford,10,shared_mailbox,240,False,False,False,10,1,False,low,email,benefit calculation query; officer should check supporting evidence; resident asks for reasonable adjustment,low
housing,routine_repair_update,Basildon,12,contact_centre,24,False,False,False,12,3,False,medium,phone,child in household; previous contact history needs review,medium
highways,footway_defect,Colchester,7,case_portal,24,False,False,False,12,6,False,medium,web,footway defect case from case portal,medium
highways,winter_or_obstruction,Uttlesford,3,web_form,240,False,False,False,11,2,False,low,web,request for inspection update; previous contact history needs review,low
highways,pothole_or_carriageway,Tendring,9,web_form,8,False,False,False,8,0,False,high,web,unsafe road defect near school; officer should check supporting evidence; resident asks for reasonable adjustment,medium
waste,fly_tipping,Colchester,3,web_form,336,False,False,False,2,1,True,medium,web,garden waste subscription question; officer should check supporting evidence; linked case may exist,low
children_services,family_support,Braintree,12,contact_centre,24,False,False,False,4,4,False,medium,phone,family support case from contact centre; resident asks for reasonable adjustment,medium
highways,footway_defect,Harlow,5,web_form,48,False,False,False,7,1,False,high,web,carriageway flooding; previous contact history needs review,low
council_tax,discount_or_exemption,Colchester,7,shared_mailbox,240,False,False,False,10,1,False,medium,email,moving home notification; previous contact history needs review,low
council_tax,bill_query,Chelmsford,8,web_form,120,False,False,False,2,2,False,medium,web,single person discount update; officer should check supporting evidence; resident asks for reasonable adjustment,low
highways,footway_defect,Harlow,2,web_form,48,False,False,False,11,6,False,high,web,drain blocked after rain; previous contact history needs review,medium
highways,winter_or_obstruction,Chelmsford,11,case_portal,120,False,False,True,2,5,False,medium,web,drain blocked after rain; previous contact history needs review,low
waste,recycling_centre_query,Basildon,11,web_form,168,False,False,False,1,0,False,medium,web,resident in Basildon reports garden waste subscription question; resident asks for reasonable adjustment,low
highways,street_lighting,Basildon,11,case_portal,168,False,False,True,6,3,False,high,web,resident in Basildon reports street light out on footpath,medium
children_services,school_admission,Brentwood,2,web_form,336,False,False,False,8,2,True,medium,web,resident in Brentwood reports general family support question,medium
council_tax,move_in_or_move_out,Harlow,7,shared_mailbox,336,False,False,False,12,3,False,high,email,single person discount update; previous contact history needs review; resident asks for reasonable adjustment,medium
children_services,family_support,Uttlesford,4,case_portal,4,False,False,False,9,3,False,medium,in_person,family crisis today; officer should check supporting evidence,medium
housing,homelessness_prevention,Basildon,3,web_form,504,False,False,True,15,2,False,high,web,homelessness prevention case from web form; linked case may exist,high
council_tax,payment_plan,Braintree,10,contact_centre,24,False,False,True,2,3,False,medium,phone,vulnerable household debt; officer should check supporting evidence,medium
housing,damp_mould_or_disrepair,Basildon,5,web_form,120,False,False,False,9,2,False,high,web,repair delay; previous contact history needs review,low
council_tax,single_person_discount,Maldon,6,shared_mailbox,48,False,False,False,5,3,False,medium,email,resident in Maldon reports bill dispute repeated; resident asks for reasonable adjustment,low
adult_social_care,safeguarding_adult,Tendring,7,web_form,8,False,False,False,0,1,True,high,web,safeguarding adult case from web form,high
highways,pothole_or_carriageway,Basildon,9,case_portal,336,False,False,False,11,4,False,high,in_person,pothole or carriageway case from case portal; resident asks for reasonable adjustment,medium
highways,street_lighting,Basildon,6,web_form,24,False,True,False,10,7,True,high,web,resident in Basildon reports traffic lights failed; linked case may exist,high
housing,routine_repair_update,Castle Point,9,shared_mailbox,24,False,False,False,11,2,False,high,email,severe damp; officer should check supporting evidence; resident asks for reasonable adjustment,medium
children_services,early_help,Colchester,11,contact_centre,48,False,True,False,6,0,True,medium,phone,resident in Colchester reports school transport issue,high
council_tax,move_in_or_move_out,Basildon,5,web_form,72,False,False,False,10,0,False,high,web,resident in Basildon reports payment plan needed,low
highways,winter_or_obstruction,Uttlesford,12,case_portal,504,False,False,False,7,1,False,low,web,request for inspection update; previous contact history needs review; linked case may exist,low
benefits,cost_of_living_support,Braintree,4,contact_centre,240,True,False,False,4,2,False,high,phone,cost of living support case from contact centre,low
adult_social_care,equipment_or_adaptation,Castle Point,10,contact_centre,336,False,False,False,5,1,False,medium,phone,care charge question; previous contact history needs review; linked case may exist,medium
council_tax,discount_or_exemption,Maldon,4,web_form,336,False,False,False,10,0,False,medium,web,discount or exemption case from web form,low
housing,neighbourhood_nuisance,Colchester,3,contact_centre,8,False,False,False,6,1,False,medium,phone,neighbourhood nuisance case from contact centre; linked case may exist,medium
adult_social_care,care_package_breakdown,Epping Forest,11,web_form,168,False,False,False,4,1,True,medium,web,resident in Epping Forest reports mobility worsening,medium
housing,temporary_accommodation,Basildon,5,contact_centre,336,False,False,False,3,0,False,high,phone,resident in Basildon reports repair appointment update,low
waste,fly_tipping,Braintree,12,web_form,240,False,False,False,0,3,False,medium,web,container request; previous contact history needs review,low
housing,no_heating_or_hot_water,Brentwood,2,case_portal,24,False,False,False,9,6,False,low,web,no heating; previous contact history needs review; resident asks for reasonable adjustment; linked case may exist,high
benefits,signposting_to_district,Epping Forest,5,contact_centre,240,False,False,False,7,0,False,medium,phone,benefit calculation query; previous contact history needs review; resident asks for reasonable adjustment,low
benefits,housing_benefit_query,Chelmsford,3,contact_centre,48,False,False,False,8,4,False,low,phone,housing benefit query case from contact centre,medium
children_services,send_support,Colchester,4,web_form,168,False,False,False,5,1,False,medium,web,school admission query; officer should check supporting evidence,low
children_services,send_support,Chelmsford,10,contact_centre,168,False,False,False,3,0,False,medium,phone,general family support question; previous contact history needs review,low
children_services,early_help,Colchester,10,shared_mailbox,240,False,False,False,5,0,True,medium,email,school admission query; officer should check supporting evidence; resident asks for reasonable adjustment,medium
highways,street_lighting,Colchester,4,web_form,240,False,False,False,11,0,False,medium,web,roadworks update; previous contact history needs review,low
waste,container_request,Colchester,4,shared_mailbox,72,False,False,False,0,2,False,medium,email,bin collection dispute; previous contact history needs review,low
highways,street_lighting,Epping Forest,2,web_form,8,False,False,False,13,1,False,medium,web,traffic lights failed; officer should check supporting evidence,medium
council_tax,single_person_discount,Chelmsford,5,web_form,120,False,False,False,8,0,True,high,web,direct debit question; previous contact history needs review; linked case may exist,medium
adult_social_care,care_package_breakdown,Harlow,10,teams_referral,168,False,False,False,9,3,False,medium,in_person,care package breakdown case from teams referral,medium
housing,damp_mould_or_disrepair,Basildon,6,web_form,168,False,False,False,8,3,False,high,web,damp mould or disrepair case from web form,medium
highways,permit_or_roadworks,Braintree,2,web_form,48,False,False,False,9,5,False,high,web,drain blocked after rain; officer should check supporting evidence,medium
children_services,adoption_or_fostering,Colchester,5,contact_centre,240,False,False,False,6,0,False,medium,phone,adoption or fostering case from contact centre,low
waste,assisted_collection,Chelmsford,5,web_form,120,False,False,False,6,3,False,medium,web,bin collection dispute; previous contact history needs review,low
children_services,school_admission,Braintree,5,case_portal,120,False,False,False,7,2,False,medium,web,school transport issue; officer should check supporting evidence; resident asks for reasonable adjustment,low
council_tax,discount_or_exemption,Uttlesford,8,web_form,120,False,False,False,7,1,False,low,web,discount evidence supplied; officer should check supporting evidence,low
council_tax,direct_debit,Castle Point,10,shared_mailbox,240,False,False,False,2,2,False,medium,email,direct debit question; previous contact history needs review; linked case may exist,low
housing,routine_repair_update,Rochford,8,web_form,504,False,False,False,3,3,False,medium,web,resident in Rochford reports routine repair question; linked case may exist,low
highways,permit_or_roadworks,Maldon,8,web_form,48,False,False,False,0,1,False,medium,web,resident in Maldon reports drain blocked after rain; resident asks for reasonable adjustment,low
benefits,overpayment_or_appeal,Castle Point,10,contact_centre,72,False,False,False,0,1,False,medium,phone,resident in Castle Point reports appeal deadline approaching; resident asks for reasonable adjustment,low
highways,street_lighting,Harlow,3,contact_centre,48,False,False,True,6,3,False,high,phone,resident in Harlow reports street light out on footpath,medium
adult_social_care,safeguarding_adult,Castle Point,9,shared_mailbox,24,True,True,False,7,1,True,medium,email,resident left without support; officer should check supporting evidence; resident asks for reasonable adjustment,high
children_services,family_support,Tendring,12,contact_centre,4,False,False,False,1,6,False,high,phone,family support case from contact centre; resident asks for reasonable adjustment; linked case may exist,high
housing,neighbourhood_nuisance,Maldon,1,shared_mailbox,24,False,True,False,16,5,True,medium,email,resident in Maldon reports unsafe electrics; resident asks for reasonable adjustment; linked case may exist,high
children_services,adoption_or_fostering,Harlow,12,shared_mailbox,168,False,False,False,12,0,False,high,email,family needs early help; officer should check supporting evidence,medium
waste,container_request,Braintree,4,contact_centre,336,False,False,False,4,0,False,medium,phone,container request; officer should check supporting evidence,low
highways,footway_defect,Chelmsford,4,web_form,8,False,False,False,7,3,False,medium,web,resident in Chelmsford reports carriageway flooding; resident asks for reasonable adjustment,medium
benefits,housing_benefit_query,Chelmsford,8,case_portal,72,False,False,False,9,3,False,medium,web,evidence already supplied; previous contact history needs review; resident asks for reasonable adjustment,low
highways,pothole_or_carriageway,Brentwood,8,web_form,24,False,False,False,3,0,False,low,web,traffic lights failed; previous contact history needs review; resident asks for reasonable adjustment,low
benefits,change_of_circumstances,Basildon,11,contact_centre,168,False,False,False,6,1,False,high,phone,change of circumstances form; previous contact history needs review,low
adult_social_care,assessment_waiting_list,Basildon,8,shared_mailbox,120,False,False,False,3,1,False,high,email,resident in Basildon reports blue badge update,low
benefits,housing_benefit_query,Uttlesford,4,contact_centre,336,False,False,False,0,1,False,low,phone,housing benefit query case from contact centre,low
benefits,discretionary_payment,Epping Forest,4,contact_centre,240,False,False,False,6,1,False,medium,phone,request for update; officer should check supporting evidence,low
housing,damp_mould_or_disrepair,Colchester,8,contact_centre,240,False,True,False,0,4,True,medium,phone,damp mould or disrepair case from contact centre; linked case may exist,medium
housing,no_heating_or_hot_water,Uttlesford,3,web_form,24,False,False,False,14,5,False,low,web,no heating or hot water case from web form,high
highways,winter_or_obstruction,Braintree,5,web_form,168,False,False,False,4,0,False,medium,web,resident in Braintree reports roadworks update; resident asks for reasonable adjustment,low
adult_social_care,equipment_or_adaptation,Chelmsford,5,shared_mailbox,240,False,False,False,4,0,False,medium,email,information about support options; previous contact history needs review; linked case may exist,low
highways,street_lighting,Tendring,12,web_form,48,False,False,False,22,4,False,high,web,drain blocked after rain; previous contact history needs review,medium
highways,flooding_or_drainage,Braintree,11,web_form,336,False,False,False,8,6,False,medium,web,resident in Braintree reports request for inspection update,low
children_services,safeguarding_child,Colchester,11,contact_centre,4,False,False,False,3,3,False,medium,phone,safeguarding child case from contact centre,high
highways,footway_defect,Braintree,3,web_form,72,False,False,False,0,2,False,medium,web,drain blocked after rain; officer should check supporting evidence; resident asks for reasonable adjustment,low
children_services,family_support,Epping Forest,2,contact_centre,240,False,False,False,5,0,False,medium,phone,fostering information request; officer should check supporting evidence; resident asks for reasonable adjustment,low
highways,street_lighting,Chelmsford,11,web_form,72,False,True,False,0,2,True,medium,web,street light out on footpath; officer should check supporting evidence; resident asks for reasonable adjustment,medium
children_services,adoption_or_fostering,Brentwood,5,web_form,336,False,False,False,12,1,False,low,web,school admission query; previous contact history needs review,medium
housing,homelessness_prevention,Castle Point,1,contact_centre,48,False,False,False,13,2,False,medium,phone,resident in Castle Point reports temporary accommodation query,medium
adult_social_care,financial_assessment,Harlow,4,case_portal,168,False,False,False,6,2,True,high,web,financial assessment case from case portal,medium
benefits,housing_benefit_query,Harlow,8,case_portal,120,False,False,False,0,1,False,high,web,resident in Harlow reports request for update,low
adult_social_care,assessment_waiting_list,Colchester,9,web_form,8,False,False,False,2,2,True,medium,web,assessment waiting list case from web form,medium
housing,damp_mould_or_disrepair,Chelmsford,11,contact_centre,168,False,False,False,10,0,False,medium,phone,general housing enquiry; officer should check supporting evidence,low
children_services,early_help,Braintree,1,contact_centre,240,False,False,False,4,0,False,medium,phone,early help case from contact centre,low
children_services,family_support,Castle Point,4,contact_centre,4,False,False,False,2,1,False,medium,phone,risk of harm; officer should check supporting evidence,high
council_tax,move_in_or_move_out,Brentwood,1,contact_centre,240,False,False,False,6,1,False,low,phone,move in or move out case from contact centre,low
adult_social_care,financial_assessment,Harlow,11,web_form,168,False,False,False,6,3,True,high,web,financial assessment case from web form,medium
waste,garden_waste,Chelmsford,9,teams_referral,8,False,False,False,2,2,False,medium,in_person,hazardous fly tipping; previous contact history needs review,low
council_tax,bill_query,Chelmsford,5,case_portal,24,False,False,False,4,1,False,medium,web,cannot afford payment; previous contact history needs review,low
children_services,early_help,Epping Forest,4,contact_centre,120,False,True,True,7,4,True,medium,phone,SEND support delayed; previous contact history needs review,high
council_tax,recovery_or_summons,Castle Point,5,shared_mailbox,72,False,False,False,7,1,False,medium,email,discount evidence supplied; previous contact history needs review,medium
children_services,early_help,Basildon,9,contact_centre,168,False,False,False,8,0,False,high,phone,resident in Basildon reports school admission query; resident asks for reasonable adjustment,medium
highways,permit_or_roadworks,Braintree,4,case_portal,168,False,False,True,12,2,False,medium,web,large pothole reported twice; previous contact history needs review,low
waste,fly_tipping,Uttlesford,10,contact_centre,72,False,False,True,2,5,False,low,phone,missed collection repeated; previous contact history needs review; linked case may exist,medium
adult_social_care,equipment_or_adaptation,Braintree,5,web_form,24,False,True,False,3,3,True,medium,web,equipment or adaptation case from web form,high
adult_social_care,financial_assessment,Epping Forest,4,contact_centre,24,False,False,False,6,0,True,medium,phone,financial assessment case from contact centre; resident asks for reasonable adjustment,high
children_services,early_help,Uttlesford,8,case_portal,24,False,False,False,12,5,True,low,in_person,early help case from case portal; resident asks for reasonable adjustment,high
housing,homelessness_prevention,Colchester,6,case_portal,504,False,False,False,19,2,False,low,web,resident in Colchester reports repair appointment update,medium
highways,permit_or_roadworks,Tendring,5,web_form,48,False,False,False,10,8,False,high,web,unsafe road defect near school; previous contact history needs review,high
