case_id,service_type,days_open,previous_contacts,vulnerability_flag,deprivation_band,channel,urgency_text,priority
CASE-00399,children_services,3,3,True,low,phone,safeguarding concern raised by family member,high
CASE-00400,waste,8,1,False,high,web,routine form completion question,low
CASE-00401,housing,4,1,True,low,phone,urgent care support appears to be failing,high
CASE-00402,council_tax,4,5,False,medium,web,routine form completion question,low
CASE-00403,children_services,1,2,False,low,email,minor issue reported online,low
CASE-00404,council_tax,0,1,False,medium,phone,request for update when possible,low
CASE-00405,children_services,9,3,False,low,email,routine form completion question,medium
CASE-00406,adult_social_care,8,0,False,medium,email,urgent care support appears to be failing,medium
CASE-00407,waste,0,2,False,low,phone,payment query needs resolution this week,low
CASE-00408,waste,4,3,False,high,phone,request for update when possible,medium
CASE-00409,council_tax,1,4,False,high,email,repair delay affecting daily routine,low
CASE-00410,highways,4,2,False,low,web,repair delay affecting daily routine,low
CASE-00411,benefits,10,3,False,low,phone,minor issue reported online,medium
CASE-00412,adult_social_care,2,3,False,high,phone,repair delay affecting daily routine,medium
CASE-00413,children_services,0,2,False,medium,phone,unsafe road defect near school entrance,medium
CASE-00414,waste,2,2,False,low,web,missed appointment causing inconvenience,low
CASE-00415,children_services,4,1,True,medium,web,risk of homelessness within days,high
CASE-00416,children_services,12,2,False,low,phone,minor issue reported online,medium
CASE-00417,housing,15,1,False,low,phone,minor issue reported online,medium
CASE-00418,children_services,2,4,False,high,email,repair delay affecting daily routine,medium
CASE-00419,benefits,4,0,False,medium,in_person,request for update when possible,low
CASE-00420,housing,2,1,False,medium,web,repair delay affecting daily routine,low
CASE-00421,council_tax,9,0,False,high,phone,unsafe road defect near school entrance,medium
CASE-00422,benefits,2,0,False,medium,phone,urgent care support appears to be failing,medium
CASE-00423,benefits,1,2,True,high,phone,urgent care support appears to be failing,high
CASE-00424,benefits,7,6,False,low,phone,request for update when possible,medium
CASE-00425,council_tax,5,1,False,low,phone,minor issue reported online,low
CASE-00426,benefits,3,0,False,high,web,repeat contact and resident is frustrated,low
CASE-00427,children_services,10,0,False,high,email,general enquiry about service times,medium
CASE-00428,children_services,7,6,False,high,phone,safeguarding concern raised by family member,high
CASE-00429,housing,6,0,True,medium,web,risk of homelessness within days,high
CASE-00430,housing,0,0,False,low,phone,general enquiry about service times,low
CASE-00431,housing,3,2,False,medium,web,risk of homelessness within days,medium
CASE-00432,council_tax,10,0,True,low,phone,repair delay affecting daily routine,medium
CASE-00433,adult_social_care,12,4,False,medium,in_person,request for update when possible,high
CASE-00434,housing,3,1,False,medium,web,minor issue reported online,low
CASE-00435,council_tax,7,0,False,low,web,repeat contact and resident is frustrated,low
CASE-00436,benefits,10,2,False,low,web,routine form completion question,low
CASE-00437,highways,9,3,True,high,web,repair delay affecting daily routine,high
CASE-00438,adult_social_care,8,1,False,low,web,request for update when possible,low
CASE-00439,council_tax,6,1,False,medium,email,repair delay affecting daily routine,low
CASE-00440,waste,3,0,False,medium,email,safeguarding concern raised by family member,low
CASE-00441,adult_social_care,6,4,False,low,phone,routine form completion question,medium
CASE-00442,adult_social_care,5,2,False,medium,in_person,missed appointment causing inconvenience,medium
CASE-00443,adult_social_care,6,2,False,medium,web,general enquiry about service times,low
CASE-00444,children_services,3,6,False,medium,email,request for update when possible,medium
CASE-00445,benefits,4,6,False,medium,web,repeat contact and resident is frustrated,low
CASE-00446,adult_social_care,0,1,True,high,web,repeat contact and resident is frustrated,high
CASE-00447,housing,8,2,False,low,phone,routine form completion question,low
CASE-00448,council_tax,0,0,False,low,in_person,routine form completion question,low
CASE-00449,children_services,5,3,False,high,web,minor issue reported online,medium
CASE-00450,adult_social_care,4,2,True,high,phone,no heating and vulnerable resident affected,high
CASE-00451,waste,2,2,False,low,web,missed appointment causing inconvenience,low
CASE-00452,housing,1,0,False,low,email,payment query needs resolution this week,low
CASE-00453,benefits,3,4,False,high,web,payment query needs resolution this week,low
CASE-00454,adult_social_care,0,1,True,low,phone,repair delay affecting daily routine,medium
CASE-00455,council_tax,2,2,False,medium,web,routine form completion question,low
CASE-00456,benefits,3,2,True,medium,web,repeat contact and resident is frustrated,low
CASE-00457,council_tax,8,2,True,high,phone,no heating and vulnerable resident affected,high
CASE-00458,waste,0,4,True,high,web,repeat contact and resident is frustrated,medium
CASE-00459,highways,7,1,False,high,web,general enquiry about service times,low
CASE-00460,housing,2,1,False,low,email,general enquiry about service times,low
CASE-00461,council_tax,0,1,False,medium,in_person,request for update when possible,low
CASE-00462,children_services,3,0,False,medium,phone,urgent care support appears to be failing,medium
CASE-00463,council_tax,6,0,False,low,email,no heating and vulnerable resident affected,medium
CASE-00464,waste,3,4,False,medium,phone,routine form completion question,low
CASE-00465,housing,0,4,False,low,web,general enquiry about service times,low
CASE-00466,waste,5,2,False,medium,phone,safeguarding concern raised by family member,medium
CASE-00467,waste,9,4,True,low,email,missed appointment causing inconvenience,medium
CASE-00468,highways,2,0,True,low,in_person,risk of homelessness within days,high
CASE-00469,adult_social_care,6,3,False,low,email,unsafe road defect near school entrance,high
CASE-00470,children_services,5,2,False,low,email,repair delay affecting daily routine,low
CASE-00471,benefits,2,0,True,high,in_person,urgent care support appears to be failing,high
CASE-00472,waste,14,2,False,high,email,risk of homelessness within days,medium
CASE-00473,benefits,4,2,False,high,web,repair delay affecting daily routine,low
CASE-00474,highways,8,0,False,high,web,minor issue reported online,low
CASE-00475,adult_social_care,7,1,False,high,phone,risk of homelessness within days,high
CASE-00476,adult_social_care,3,4,False,low,web,minor issue reported online,medium
CASE-00477,housing,9,0,True,low,email,unsafe road defect near school entrance,high
CASE-00478,waste,3,4,False,medium,web,minor issue reported online,low
CASE-00479,children_services,6,0,False,medium,phone,request for update when possible,medium
CASE-00480,housing,0,2,False,medium,web,general enquiry about service times,low
CASE-00481,benefits,4,0,False,high,web,routine form completion question,low
CASE-00482,council_tax,8,1,False,medium,phone,missed appointment causing inconvenience,low
CASE-00483,council_tax,1,1,False,low,in_person,general enquiry about service times,low
CASE-00484,waste,6,4,True,medium,phone,minor issue reported online,high
CASE-00485,benefits,6,0,True,low,email,minor issue reported online,medium
CASE-00486,benefits,7,4,False,low,web,request for update when possible,low
CASE-00487,council_tax,5,0,False,medium,phone,repeat contact and resident is frustrated,low
CASE-00488,highways,1,5,False,high,phone,risk of homelessness within days,high
CASE-00489,benefits,8,5,False,low,phone,payment query needs resolution this week,medium
CASE-00490,waste,6,5,False,medium,phone,missed appointment causing inconvenience,medium
CASE-00491,housing,4,1,True,medium,web,risk of homelessness within days,high
CASE-00492,housing,11,2,False,high,web,repeat contact and resident is frustrated,medium
CASE-00493,waste,3,1,False,low,email,minor issue reported online,low
CASE-00494,highways,10,2,False,high,email,missed appointment causing inconvenience,low
CASE-00495,council_tax,0,2,False,high,web,repair delay affecting daily routine,low
CASE-00496,waste,6,4,False,medium,web,minor issue reported online,low
CASE-00497,highways,3,2,False,high,web,repair delay affecting daily routine,low
CASE-00498,children_services,0,1,True,medium,phone,risk of homelessness within days,high
CASE-00499,adult_social_care,5,1,False,high,email,repair delay affecting daily routine,medium
CASE-00500,benefits,11,1,False,high,web,routine form completion question,low
CASE-00501,highways,4,2,False,high,web,unsafe road defect near school entrance,medium
CASE-00502,council_tax,7,0,False,low,web,routine form completion question,low
CASE-00503,children_services,4,1,False,low,email,minor issue reported online,low
CASE-00504,housing,4,0,False,high,web,general enquiry about service times,low
CASE-00505,children_services,7,1,False,high,web,repeat contact and resident is frustrated,medium
CASE-00506,adult_social_care,4,3,False,low,web,repeat contact and resident is frustrated,medium
CASE-00507,benefits,3,1,False,high,email,general enquiry about service times,low
CASE-00508,waste,2,0,False,low,web,repeat contact and resident is frustrated,low
CASE-00509,benefits,1,2,False,low,web,minor issue reported online,low
CASE-00510,children_services,2,0,False,medium,phone,missed appointment causing inconvenience,low
CASE-00511,highways,5,3,False,medium,web,repair delay affecting daily routine,low
CASE-00512,highways,0,2,False,medium,web,missed appointment causing inconvenience,low
CASE-00513,benefits,3,3,False,high,phone,request for update when possible,medium
CASE-00514,children_services,12,1,False,low,phone,request for update when possible,medium
CASE-00515,benefits,5,3,False,medium,phone,routine form completion question,medium
CASE-00516,adult_social_care,11,1,False,medium,web,repeat contact and resident is frustrated,low
CASE-00517,adult_social_care,3,1,False,medium,email,repair delay affecting daily routine,low
CASE-00518,benefits,5,0,False,high,phone,no heating and vulnerable resident affected,medium
CASE-00519,council_tax,8,2,True,medium,phone,no heating and vulnerable resident affected,high
CASE-00520,children_services,3,5,False,high,web,payment query needs resolution this week,medium
CASE-00521,benefits,9,2,False,medium,phone,repair delay affecting daily routine,low
CASE-00522,council_tax,3,4,False,low,web,minor issue reported online,low
CASE-00523,benefits,2,1,False,high,web,routine form completion question,low
CASE-00524,highways,7,2,False,low,email,unsafe road defect near school entrance,medium
CASE-00525,waste,3,1,False,medium,phone,unsafe road defect near school entrance,low
CASE-00526,adult_social_care,0,0,False,high,phone,request for update when possible,medium
CASE-00527,waste,1,0,False,low,email,routine form completion question,low
CASE-00528,adult_social_care,8,3,False,high,web,urgent care support appears to be failing,high
CASE-00529,housing,4,1,False,low,web,repair delay affecting daily routine,low
CASE-00530,waste,0,4,False,high,web,repeat contact and resident is frustrated,low
CASE-00531,council_tax,9,1,False,low,phone,general enquiry about service times,low
CASE-00532,waste,6,3,False,medium,web,routine form completion question,low
CASE-00533,highways,8,2,True,low,phone,safeguarding concern raised by family member,high
CASE-00534,adult_social_care,6,3,False,low,phone,missed appointment causing inconvenience,medium
CASE-00535,highways,6,1,False,medium,web,minor issue reported online,low
CASE-00536,council_tax,4,1,True,high,phone,safeguarding concern raised by family member,high
CASE-00537,children_services,8,3,True,low,phone,request for update when possible,high
CASE-00538,children_services,10,1,False,high,web,repair delay affecting daily routine,medium
CASE-00539,benefits,5,2,True,medium,in_person,payment query needs resolution this week,medium
CASE-00540,council_tax,0,1,False,low,web,repair delay affecting daily routine,low
CASE-00541,housing,8,1,False,high,web,risk of homelessness within days,medium
CASE-00542,waste,0,3,False,high,phone,repeat contact and resident is frustrated,medium
CASE-00543,benefits,4,2,False,high,web,missed appointment causing inconvenience,low
CASE-00544,highways,3,1,False,high,phone,unsafe road defect near school entrance,medium
CASE-00545,children_services,7,5,False,low,web,routine form completion question,medium
CASE-00546,council_tax,4,2,False,low,web,minor issue reported online,low
CASE-00547,highways,1,0,False,medium,web,request for update when possible,low
CASE-00548,children_services,0,5,True,high,web,repeat contact and resident is frustrated,high
CASE-00549,children_services,5,3,False,medium,web,minor issue reported online,medium
CASE-00550,adult_social_care,0,0,True,high,phone,request for update when possible,high
CASE-00551,adult_social_care,3,1,False,medium,phone,repair delay affecting daily routine,low
CASE-00552,waste,0,0,False,low,web,repeat contact and resident is frustrated,low
CASE-00553,waste,5,3,True,low,in_person,minor issue reported online,high
CASE-00554,adult_social_care,7,3,False,medium,email,payment query needs resolution this week,medium
CASE-00555,council_tax,1,2,False,low,web,repeat contact and resident is frustrated,low
CASE-00556,adult_social_care,0,1,False,medium,phone,repeat contact and resident is frustrated,low
CASE-00557,waste,7,1,False,medium,phone,request for update when possible,low
CASE-00558,council_tax,1,3,False,low,email,urgent care support appears to be failing,medium
CASE-00559,waste,0,0,False,high,email,minor issue reported online,low
CASE-00560,council_tax,7,3,False,low,web,minor issue reported online,low
CASE-00561,council_tax,0,3,False,medium,web,repair delay affecting daily routine,low
CASE-00562,council_tax,4,0,False,low,email,minor issue reported online,low
CASE-00563,children_services,8,1,False,high,web,repeat contact and resident is frustrated,medium
CASE-00564,children_services,12,4,False,medium,phone,routine form completion question,high
CASE-00565,waste,5,2,True,medium,phone,safeguarding concern raised by family member,high
CASE-00566,housing,10,0,True,medium,phone,no heating and vulnerable resident affected,high
CASE-00567,adult_social_care,1,1,True,medium,phone,unsafe road defect near school entrance,high
CASE-00568,housing,0,1,False,high,email,repeat contact and resident is frustrated,low
CASE-00569,adult_social_care,3,4,True,low,web,general enquiry about service times,high
CASE-00570,council_tax,8,3,False,medium,web,unsafe road defect near school entrance,medium
CASE-00571,benefits,0,0,False,medium,phone,request for update when possible,low
CASE-00572,adult_social_care,3,0,True,medium,web,risk of homelessness within days,high
CASE-00573,highways,6,4,False,medium,web,minor issue reported online,low
CASE-00574,highways,10,0,False,low,web,repeat contact and resident is frustrated,low
CASE-00575,adult_social_care,0,1,False,high,phone,payment query needs resolution this week,medium
CASE-00576,benefits,0,2,False,high,email,minor issue reported online,low
CASE-00577,council_tax,6,2,False,high,email,request for update when possible,low
CASE-00578,housing,10,1,False,medium,web,missed appointment causing inconvenience,low
CASE-00579,children_services,8,1,False,low,web,unsafe road defect near school entrance,medium
CASE-00580,highways,0,1,True,low,email,payment query needs resolution this week,low
CASE-00581,children_services,8,2,False,medium,phone,missed appointment causing inconvenience,medium
CASE-00582,housing,13,5,False,medium,web,payment query needs resolution this week,medium
CASE-00583,children_services,10,0,False,medium,web,repeat contact and resident is frustrated,medium
CASE-00584,children_services,2,1,False,medium,web,unsafe road defect near school entrance,medium
CASE-00585,highways,3,1,False,low,web,general enquiry about service times,low
CASE-00586,highways,5,1,False,high,email,missed appointment causing inconvenience,low
CASE-00587,benefits,5,2,False,high,web,general enquiry about service times,low
CASE-00588,adult_social_care,5,4,False,medium,phone,minor issue reported online,medium
CASE-00589,children_services,5,3,True,high,email,risk of homelessness within days,high
CASE-00590,highways,3,3,False,medium,web,minor issue reported online,low
CASE-00591,waste,1,5,True,low,phone,risk of homelessness within days,high
CASE-00592,adult_social_care,11,1,False,medium,phone,general enquiry about service times,medium
CASE-00593,council_tax,0,1,True,low,web,general enquiry about service times,low
CASE-00594,children_services,6,1,False,high,phone,request for update when possible,medium
CASE-00595,council_tax,0,5,True,medium,phone,missed appointment causing inconvenience,medium
CASE-00596,waste,2,0,True,high,email,general enquiry about service times,medium
CASE-00597,children_services,5,2,True,high,phone,urgent care support appears to be failing,high
CASE-00598,adult_social_care,0,4,True,low,email,payment query needs resolution this week,high
CASE-00599,highways,1,2,False,high,email,general enquiry about service times,low
CASE-00600,housing,1,4,False,low,phone,minor issue reported online,medium
CASE-00601,waste,2,2,False,low,web,risk of homelessness within days,low
CASE-00602,children_services,1,0,False,low,web,payment query needs resolution this week,low
CASE-00603,adult_social_care,1,2,True,high,phone,urgent care support appears to be failing,high
CASE-00604,children_services,7,1,False,low,phone,missed appointment causing inconvenience,medium
CASE-00605,highways,0,2,False,medium,phone,routine form completion question,low
CASE-00606,housing,13,3,True,high,in_person,repeat contact and resident is frustrated,high
CASE-00607,benefits,4,2,True,low,phone,no heating and vulnerable resident affected,high
CASE-00608,benefits,0,2,False,medium,phone,payment query needs resolution this week,low
CASE-00609,children_services,3,0,False,low,email,routine form completion question,low
CASE-00610,benefits,0,6,True,high,phone,urgent care support appears to be failing,high
CASE-00611,children_services,3,0,False,low,web,request for update when possible,low
CASE-00612,highways,12,1,False,medium,phone,repeat contact and resident is frustrated,low
CASE-00613,housing,8,2,False,high,web,routine form completion question,low
CASE-00614,adult_social_care,0,3,True,low,phone,safeguarding concern raised by family member,high
CASE-00615,waste,5,3,False,medium,phone,missed appointment causing inconvenience,medium
CASE-00616,waste,0,5,True,medium,phone,no heating and vulnerable resident affected,high
CASE-00617,benefits,0,5,False,high,web,general enquiry about service times,low
CASE-00618,benefits,8,3,False,medium,phone,missed appointment causing inconvenience,medium
CASE-00619,council_tax,0,0,False,high,web,general enquiry about service times,low
CASE-00620,highways,3,1,True,low,web,request for update when possible,low
CASE-00621,council_tax,9,5,True,medium,email,missed appointment causing inconvenience,medium
CASE-00622,council_tax,7,1,True,medium,web,payment query needs resolution this week,medium
CASE-00623,council_tax,5,1,False,high,web,general enquiry about service times,low
CASE-00624,children_services,6,1,False,medium,email,missed appointment causing inconvenience,low
CASE-00625,housing,6,3,True,high,phone,urgent care support appears to be failing,high
CASE-00626,children_services,10,4,False,low,phone,risk of homelessness within days,high
CASE-00627,council_tax,11,1,False,high,phone,general enquiry about service times,medium
CASE-00628,housing,5,3,False,high,web,repair delay affecting daily routine,medium
CASE-00629,highways,6,2,False,medium,in_person,routine form completion question,low
CASE-00630,highways,4,0,False,low,web,routine form completion question,low
CASE-00631,council_tax,8,2,False,low,web,request for update when possible,low
CASE-00632,housing,2,2,False,medium,in_person,no heating and vulnerable resident affected,low
CASE-00633,highways,10,0,False,medium,phone,missed appointment causing inconvenience,low
CASE-00634,adult_social_care,9,0,False,low,phone,repeat contact and resident is frustrated,medium
CASE-00635,council_tax,8,0,True,high,phone,general enquiry about service times,medium
CASE-00636,benefits,6,1,False,high,web,risk of homelessness within days,medium
CASE-00637,council_tax,8,0,False,high,phone,general enquiry about service times,low
CASE-00638,children_services,0,3,False,medium,web,no heating and vulnerable resident affected,high
CASE-00639,children_services,5,2,False,medium,web,general enquiry about service times,low
CASE-00640,benefits,4,1,False,high,email,missed appointment causing inconvenience,low
CASE-00641,highways,10,1,False,low,web,repeat contact and resident is frustrated,low
CASE-00642,children_services,2,1,False,medium,web,no heating and vulnerable resident affected,medium
CASE-00643,children_services,6,2,False,medium,web,request for update when possible,low
CASE-00644,waste,11,0,False,high,web,request for update when possible,low
CASE-00645,highways,3,4,False,low,phone,general enquiry about service times,low
CASE-00646,housing,5,1,True,medium,phone,minor issue reported online,medium
CASE-00647,housing,4,0,False,medium,web,payment query needs resolution this week,low
CASE-00648,adult_social_care,0,2,True,low,web,unsafe road defect near school entrance,high
CASE-00649,adult_social_care,2,0,False,low,phone,minor issue reported online,low
CASE-00650,highways,3,3,False,medium,phone,request for update when possible,low
CASE-00651,children_services,5,4,False,medium,web,request for update when possible,medium
CASE-00652,waste,9,4,False,medium,web,repeat contact and resident is frustrated,low
CASE-00653,housing,5,2,True,medium,phone,payment query needs resolution this week,medium
CASE-00654,housing,3,0,False,medium,email,minor issue reported online,low
CASE-00655,housing,7,3,True,medium,phone,safeguarding concern raised by family member,high
CASE-00656,waste,8,4,True,medium,phone,routine form completion question,high
CASE-00657,highways,5,1,False,medium,phone,general enquiry about service times,low
CASE-00658,highways,0,0,False,high,phone,no heating and vulnerable resident affected,medium
CASE-00659,waste,7,1,False,low,phone,minor issue reported online,low
CASE-00660,housing,9,3,False,high,email,missed appointment causing inconvenience,medium
CASE-00661,highways,8,1,False,medium,phone,risk of homelessness within days,medium
CASE-00662,council_tax,6,4,False,medium,web,repeat contact and resident is frustrated,low
CASE-00663,waste,9,1,True,low,web,safeguarding concern raised by family member,high
CASE-00664,benefits,14,0,False,medium,phone,risk of homelessness within days,medium
CASE-00665,waste,5,0,False,high,email,repair delay affecting daily routine,low
CASE-00666,highways,5,3,False,medium,phone,payment query needs resolution this week,medium
CASE-00667,benefits,6,3,True,medium,in_person,unsafe road defect near school entrance,high
CASE-00668,adult_social_care,7,0,False,medium,web,request for update when possible,low
CASE-00669,housing,7,1,True,low,phone,unsafe road defect near school entrance,high
CASE-00670,waste,7,0,False,low,email,routine form completion question,low
CASE-00671,waste,9,0,False,medium,phone,minor issue reported online,low
CASE-00672,children_services,4,2,False,low,phone,risk of homelessness within days,medium
CASE-00673,housing,8,5,False,low,web,risk of homelessness within days,high
CASE-00674,highways,8,2,True,medium,web,no heating and vulnerable resident affected,high
CASE-00675,children_services,9,3,False,low,web,repeat contact and resident is frustrated,medium
CASE-00676,highways,7,3,False,medium,web,minor issue reported online,low
CASE-00677,waste,4,0,False,high,email,routine form completion question,low
CASE-00678,waste,0,2,True,low,web,repair delay affecting daily routine,low
CASE-00679,benefits,0,0,False,medium,phone,missed appointment causing inconvenience,low
CASE-00680,children_services,9,2,False,low,email,unsafe road defect near school entrance,medium
CASE-00681,council_tax,8,0,False,high,email,repair delay affecting daily routine,low
CASE-00682,waste,5,2,False,low,email,repeat contact and resident is frustrated,low
CASE-00683,highways,8,2,False,medium,phone,general enquiry about service times,low
CASE-00684,adult_social_care,0,0,False,medium,phone,general enquiry about service times,low
CASE-00685,waste,8,5,False,medium,web,request for update when possible,low
CASE-00686,benefits,6,2,False,high,email,repair delay affecting daily routine,low
CASE-00687,council_tax,0,0,False,low,phone,routine form completion question,low
CASE-00688,adult_social_care,1,0,True,low,web,urgent care support appears to be failing,high
CASE-00689,council_tax,8,3,False,low,email,risk of homelessness within days,medium
CASE-00690,council_tax,7,4,False,high,phone,repair delay affecting daily routine,medium
CASE-00691,highways,6,4,True,low,web,no heating and vulnerable resident affected,high
CASE-00692,children_services,12,0,False,high,email,general enquiry about service times,low
CASE-00693,waste,10,1,True,high,email,safeguarding concern raised by family member,high
CASE-00694,highways,7,0,True,medium,web,urgent care support appears to be failing,high
CASE-00695,benefits,9,2,False,low,web,minor issue reported online,low
CASE-00696,children_services,8,6,False,low,web,payment query needs resolution this week,medium
CASE-00697,benefits,10,3,True,high,web,unsafe road defect near school entrance,high
CASE-00698,housing,9,2,False,medium,web,repeat contact and resident is frustrated,low
CASE-00699,housing,4,2,False,high,web,routine form completion question,low
CASE-00700,housing,0,4,False,high,web,routine form completion question,medium
CASE-00701,waste,6,3,False,medium,phone,request for update when possible,medium
CASE-00702,adult_social_care,6,2,False,high,web,risk of homelessness within days,high
CASE-00703,council_tax,5,2,False,high,web,payment query needs resolution this week,low
CASE-00704,benefits,0,3,False,low,web,missed appointment causing inconvenience,low
CASE-00705,children_services,8,3,True,medium,web,no heating and vulnerable resident affected,high
CASE-00706,benefits,4,3,False,low,phone,repair delay affecting daily routine,low
CASE-00707,children_services,5,2,False,medium,email,minor issue reported online,low
CASE-00708,waste,4,0,False,medium,email,request for update when possible,low
CASE-00709,adult_social_care,5,1,False,medium,phone,payment query needs resolution this week,medium
CASE-00710,children_services,0,0,True,low,phone,minor issue reported online,medium
CASE-00711,housing,0,0,False,medium,email,payment query needs resolution this week,low
CASE-00712,highways,10,1,False,low,web,minor issue reported online,low
CASE-00713,council_tax,4,1,True,low,phone,risk of homelessness within days,high
CASE-00714,council_tax,5,0,False,low,phone,general enquiry about service times,low
CASE-00715,housing,0,1,False,medium,web,routine form completion question,low
CASE-00716,council_tax,5,3,False,high,phone,general enquiry about service times,medium
CASE-00717,benefits,4,1,False,high,web,general enquiry about service times,low
CASE-00718,benefits,3,1,False,high,phone,minor issue reported online,low
CASE-00719,benefits,4,1,False,medium,phone,urgent care support appears to be failing,medium
CASE-00720,benefits,9,3,False,high,email,routine form completion question,medium
CASE-00721,council_tax,3,2,False,low,phone,routine form completion question,low
CASE-00722,children_services,6,0,False,low,web,safeguarding concern raised by family member,medium
CASE-00723,benefits,5,1,True,high,web,payment query needs resolution this week,medium
CASE-00724,housing,5,1,True,low,email,general enquiry about service times,medium
CASE-00725,waste,7,0,False,low,web,unsafe road defect near school entrance,medium
CASE-00726,housing,2,4,False,high,web,repeat contact and resident is frustrated,medium
CASE-00727,children_services,0,3,False,low,phone,repair delay affecting daily routine,medium
CASE-00728,benefits,4,4,False,medium,email,general enquiry about service times,low
CASE-00729,highways,1,1,False,medium,email,routine form completion question,low
CASE-00730,adult_social_care,2,4,False,high,web,repair delay affecting daily routine,low
CASE-00731,children_services,13,3,False,medium,web,minor issue reported online,medium
CASE-00732,council_tax,8,4,True,high,web,unsafe road defect near school entrance,high
CASE-00733,children_services,6,1,False,medium,web,risk of homelessness within days,medium
CASE-00734,highways,3,4,False,high,phone,minor issue reported online,medium
CASE-00735,children_services,4,0,True,medium,phone,no heating and vulnerable resident affected,high
CASE-00736,council_tax,6,2,False,high,web,minor issue reported online,low
CASE-00737,housing,3,1,True,medium,web,unsafe road defect near school entrance,high
CASE-00738,children_services,0,1,False,medium,email,missed appointment causing inconvenience,low
CASE-00739,highways,12,4,True,low,email,safeguarding concern raised by family member,high
CASE-00740,waste,2,3,True,low,web,no heating and vulnerable resident affected,high
CASE-00741,adult_social_care,4,0,False,high,phone,repeat contact and resident is frustrated,medium
CASE-00742,adult_social_care,0,4,True,high,web,safeguarding concern raised by family member,high
CASE-00743,children_services,1,3,False,low,web,routine form completion question,medium
CASE-00744,highways,7,2,False,low,phone,risk of homelessness within days,medium
CASE-00745,council_tax,3,1,False,medium,web,risk of homelessness within days,low
CASE-00746,benefits,4,6,False,medium,phone,minor issue reported online,low
CASE-00747,waste,0,1,False,medium,phone,routine form completion question,low
CASE-00748,waste,12,1,True,medium,web,safeguarding concern raised by family member,high
CASE-00749,children_services,0,1,False,low,email,urgent care support appears to be failing,medium
CASE-00750,adult_social_care,8,6,False,high,web,risk of homelessness within days,high
CASE-00751,housing,4,0,True,medium,in_person,unsafe road defect near school entrance,high
CASE-00752,benefits,11,2,False,high,email,general enquiry about service times,low
CASE-00753,highways,1,0,True,high,phone,missed appointment causing inconvenience,medium
CASE-00754,housing,4,2,False,low,web,general enquiry about service times,low
CASE-00755,benefits,4,0,False,medium,phone,repair delay affecting daily routine,low
CASE-00756,housing,5,0,False,medium,phone,urgent care support appears to be failing,medium
CASE-00757,children_services,4,2,True,low,in_person,safeguarding concern raised by family member,high
CASE-00758,children_services,6,0,False,high,web,repair delay affecting daily routine,medium
CASE-00759,council_tax,7,1,True,high,email,no heating and vulnerable resident affected,high
CASE-00760,benefits,0,1,True,medium,web,risk of homelessness within days,medium
CASE-00761,benefits,9,2,True,high,phone,payment query needs resolution this week,medium
CASE-00762,council_tax,7,1,False,medium,email,missed appointment causing inconvenience,low
CASE-00763,council_tax,1,4,False,low,web,general enquiry about service times,low
CASE-00764,waste,4,3,True,medium,web,urgent care support appears to be failing,high
CASE-00765,adult_social_care,8,4,False,medium,web,payment query needs resolution this week,medium
CASE-00766,highways,6,5,False,high,web,minor issue reported online,medium
CASE-00767,housing,4,0,False,medium,phone,routine form completion question,low
CASE-00768,children_services,5,1,False,medium,phone,minor issue reported online,medium
CASE-00769,adult_social_care,15,0,True,high,web,payment query needs resolution this week,high
CASE-00770,children_services,6,0,False,low,phone,repeat contact and resident is frustrated,medium
CASE-00771,adult_social_care,4,1,False,medium,web,routine form completion question,low
CASE-00772,housing,5,3,False,high,email,repair delay affecting daily routine,high
CASE-00773,waste,12,3,False,high,web,general enquiry about service times,medium
CASE-00774,highways,1,1,False,medium,email,minor issue reported online,low
CASE-00775,waste,6,1,True,low,web,urgent care support appears to be failing,high
CASE-00776,council_tax,8,0,False,low,phone,unsafe road defect near school entrance,medium
CASE-00777,children_services,6,0,False,low,phone,request for update when possible,medium
CASE-00778,housing,10,5,False,medium,web,repeat contact and resident is frustrated,medium
CASE-00779,highways,8,0,False,low,web,request for update when possible,low
CASE-00780,adult_social_care,0,6,False,high,email,repair delay affecting daily routine,medium
CASE-00781,children_services,1,2,False,high,web,repeat contact and resident is frustrated,low
CASE-00782,children_services,0,3,False,high,email,general enquiry about service times,medium
CASE-00783,housing,6,5,False,medium,phone,repeat contact and resident is frustrated,medium
CASE-00784,highways,7,0,False,high,web,general enquiry about service times,low
CASE-00785,children_services,6,1,False,medium,web,missed appointment causing inconvenience,low
CASE-00786,children_services,7,3,False,low,web,risk of homelessness within days,high
CASE-00787,benefits,7,1,False,low,email,no heating and vulnerable resident affected,medium
CASE-00788,waste,5,0,False,low,email,missed appointment causing inconvenience,low
CASE-00789,housing,7,6,False,high,web,urgent care support appears to be failing,high
CASE-00790,council_tax,0,5,False,low,web,missed appointment causing inconvenience,low
CASE-00791,waste,1,4,False,medium,web,risk of homelessness within days,medium
CASE-00792,highways,1,2,True,medium,phone,urgent care support appears to be failing,high
CASE-00793,housing,1,1,False,low,email,repair delay affecting daily routine,low
CASE-00794,children_services,9,1,False,medium,phone,unsafe road defect near school entrance,high
CASE-00795,highways,9,3,True,medium,web,urgent care support appears to be failing,high
CASE-00796,council_tax,3,4,False,low,web,missed appointment causing inconvenience,low
CASE-00797,benefits,2,0,False,high,phone,routine form completion question,low
CASE-00798,housing,4,1,True,low,web,routine form completion question,medium
